Date,AAPL,AMZN,GOOGL,JPM,GLD,DIS,VNO,FB,UBS,KO,MCD,^GSPC,GM
2019-08-14,50.10308837890625,1762.9599609375,1164.25,100.32390594482422,142.75,132.05880737304688,54.555301666259766,179.7100067138672,8.827184677124023,50.48763656616211,208.76168823242188,2840.60009765625,35.99055480957031
2019-08-15,49.85350036621094,1776.1199951171875,1169.3199462890625,100.70681762695312,143.6999969482422,132.61546325683594,54.67313003540039,182.58999633789062,8.827184677124023,51.32607650756836,210.4878692626953,2847.60009765625,35.29377746582031
2019-08-16,51.02977752685547,1792.5699462890625,1179.2099609375,103.11919403076172,142.77999877929688,134.39480590820312,55.516075134277344,183.6999969482422,9.035699844360352,51.840576171875,210.68072509765625,2888.679931640625,35.80668258666992
2019-08-19,51.98118209838867,1816.1199951171875,1200.43994140625,104.04776763916016,141.11000061035156,134.48426818847656,55.64297103881836,186.1699981689453,9.105205535888672,52.10735321044922,210.97967529296875,2923.64990234375,36.15507507324219
2019-08-20,51.9836540222168,1801.3800048828125,1183.530029296875,102.72669982910156,142.2100067138672,134.32522583007812,54.691253662109375,183.80999755859375,9.044387817382812,51.335609436035156,210.68072509765625,2900.510009765625,35.767974853515625
2019-08-21,52.547080993652344,1823.5400390625,1191.5799560546875,103.01387786865234,141.75999450683594,134.9514617919922,54.50998306274414,183.5500030517578,9.096517562866211,51.54521179199219,212.84088134765625,2924.429931640625,35.92280578613281
2019-08-22,52.50259780883789,1804.6600341796875,1191.52001953125,104.07647705078125,141.39999389648438,135.26956176757812,54.564369201660156,182.0399932861328,9.235528945922852,51.91679763793945,211.66436767578125,2922.949951171875,36.05829620361328
2019-08-23,50.075904846191406,1749.6199951171875,1153.5799560546875,101.49179077148438,144.1699981689453,130.88583374023438,53.30449295043945,177.75,9.105205535888672,51.20222091674805,207.006591796875,2847.110107421875,34.89699935913086
2019-08-26,51.027305603027344,1768.8699951171875,1171.1800537109375,102.30549621582031,144.19000244140625,133.80831909179688,53.893646240234375,180.36000061035156,9.200775146484375,51.96443557739258,209.17637634277344,2878.3798828125,35.08087158203125
2019-08-27,50.45151901245117,1761.8299560546875,1170.8199462890625,101.2237548828125,145.57000732421875,133.6890411376953,53.69424057006836,181.3000030517578,9.105205535888672,52.13593673706055,208.34703063964844,2869.159912109375,34.732479095458984
2019-08-28,50.79007339477539,1764.25,1173.75,102.23848724365234,145.16000366210938,135.7367706298828,53.911766052246094,181.75999450683594,9.131270408630371,52.50751876831055,210.29501342773438,2887.93994140625,35.26474380493164
2019-08-29,51.65003967285156,1786.4000244140625,1194.239990234375,104.55513000488281,144.1199951171875,137.01907348632812,54.62781524658203,185.57000732421875,9.192086219787598,52.45035171508789,212.6769256591797,2924.580078125,35.71958541870117
2019-08-30,51.58332443237305,1776.2900390625,1190.530029296875,105.16779327392578,143.75,136.44253540039062,54.8090934753418,185.6699981689453,9.209465026855469,52.440826416015625,211.3100128173828,2926.4599609375,35.89377975463867
2019-09-03,50.83208084106445,1789.8399658203125,1169.550048828125,103.9233169555664,145.75,135.49819946289062,55.47981643676758,182.38999938964844,9.105205535888672,52.68854904174805,210.49566650390625,2906.27001953125,35.71958541870117
2019-09-04,51.694522857666016,1800.6199951171875,1182.27001953125,105.17735290527344,146.66000366210938,137.06878662109375,55.76079559326172,187.13999938964844,9.200775146484375,53.1363525390625,211.82383728027344,2937.780029296875,37.006690979003906
2019-09-05,52.70523452758789,1840.719970703125,1212.18994140625,107.5705795288086,143.13999938964844,138.01312255859375,56.123348236083984,190.89999389648438,9.391915321350098,52.51704788208008,212.78358459472656,2976.0,37.85708236694336
2019-09-06,52.700286865234375,1833.510009765625,1206.3199462890625,107.80033111572266,141.9199981689453,138.71890258789062,56.875648498535156,187.49000549316406,9.45273208618164,52.62185287475586,213.3070526123047,2978.7099609375,37.90595245361328
2019-09-09,52.9251708984375,1831.3499755859375,1205.27001953125,110.47117614746094,141.38999938964844,138.00318908691406,56.93909454345703,188.75999450683594,9.678625106811523,51.94538116455078,210.62171936035156,2978.429931640625,38.687923431396484
2019-09-10,53.55037307739258,1820.550048828125,1205.699951171875,111.87838745117188,140.17999267578125,134.98129272460938,57.70045852661133,186.1699981689453,9.982709884643555,51.831050872802734,203.27330017089844,2979.389892578125,38.687923431396484
2019-09-11,55.25301742553711,1822.989990234375,1220.0,112.18472290039062,141.02999877929688,135.37890625,58.235225677490234,188.49000549316406,10.060904502868652,52.18357849121094,203.7774200439453,3000.929931640625,38.57062530517578
2019-09-12,55.129459381103516,1843.550048828125,1234.969970703125,112.87397003173828,141.32000732421875,136.6811065673828,58.12645721435547,187.47000122070312,10.017463684082031,52.50751876831055,205.66783142089844,3009.570068359375,38.18941879272461
2019-09-13,54.05696487426758,1839.3399658203125,1240.030029296875,115.09487915039062,140.14999389648438,137.19801330566406,57.52824783325195,187.19000244140625,10.191226959228516,52.07563400268555,203.3993377685547,3007.389892578125,37.98414993286133
2019-09-16,54.34115219116211,1807.8399658203125,1231.6300048828125,114.0705795288086,141.32000732421875,134.99124145507812,57.92705535888672,186.22000122070312,10.060904502868652,51.78771209716797,201.06298828125,2997.9599609375,36.371337890625
2019-09-17,54.53884506225586,1822.550048828125,1229.8800048828125,113.50577545166016,141.60000610351562,135.49819946289062,57.40135955810547,188.0800018310547,9.93927001953125,52.05644607543945,203.43812561035156,3005.699951171875,37.426998138427734
2019-09-18,55.050384521484375,1817.4599609375,1232.6500244140625,114.64495086669922,140.7100067138672,135.9852752685547,57.02973556518555,188.13999938964844,9.93927001953125,52.046844482421875,204.00038146972656,3006.72998046875,37.31947708129883
2019-09-19,54.60310363769531,1821.5,1238.75,114.28117370605469,141.27999877929688,132.50611877441406,56.90283966064453,190.13999938964844,10.008776664733887,52.32516860961914,204.08766174316406,3006.7900390625,36.928489685058594
